time,planned_x,planned_y,planned_z,actual_x,actual_y,actual_z,position_error,velocity_error
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023032880130062938
0.02,1.4934625090245685e-05,1.8492484704467987e-05,1.5218788551147753e-05,-6.323249491788435e-05,7.245199834236084e-05,0.0004505083643587056,0.0004455319770444395,0.046750568817040254
0.04,0.00011943176872131524,0.0001478707718476677,0.00012170179713023349,-0.0007789796316167435,-0.00016927136513261511,0.0009516706154189844,0.0012635546757609809,0.06002013781655699
0.06,0.0004028304211101837,0.0004986792657249807,0.00041047363811430777,-0.0014153600500013633,-0.00047708916901879764,0.0018381292749977234,0.0025092112794677423,0.03142392823771494
0.08,0.0009540304940293692,0.0011807920964150987,0.0009720886449841287,-0.0016241150150833918,-8.2565715106278e-05,0.0023510585382812118,0.003185037706638675,0.08130724086124999
0.1,0.0018612866381741199,0.0023030989442133247,0.0018964106865768469,-0.0017301930286948747,-0.0005910569085334969,0.002901949150597493,0.00472080203992363,0.09712955195061632
0.12000000000000001,0.003212011311263401,0.003973205378749096,0.003272403327400741,-0.001337384668060084,-0.00089245183959275,0.0033807605534672915,0.00666208415073899,0.15553287920865075
0.14,0.00509258695322713,0.006297147484746393,0.00518793016442366,-0.0012299996010045426,-0.0014446276201515182,0.003994676130189801,0.010066480899539003,0.1886794081097434
0.16,0.007588187124832125,0.009379120546385705,0.007729565170746816,-0.0011437507337564096,-0.0015040627655574523,0.004677550154368693,0.014283039362397883,0.22331663968564247
0.18,0.010782606466099203,0.013321221562226204,0.01098241287657563,-0.0005907600420497896,-0.0011417455943833544,0.00533744481894297,0.019245689103629025,0.269680247995167
0.19999999999999998,0.014758099330863913,0.01822320536264682,0.015029938217899212,0.000784096076667939,-0.00042391808011643856,0.005707919251958936,0.02509756994689488,0.3323080206133132
0.21999999999999997,0.01959522695383332,0.024182254101764854,0.01995380588329023,0.0021141696510042214,0.0008065085710564452,0.006022893060787245,0.032343209111178294,0.3697852868468304
0.23999999999999996,0.02537271300649135,0.03129275989579077,0.025833728989236717,0.00400587873466427,0.0027716217143657247,0.006681132363019329,0.04045761841100214,0.4191427236518288
0.25999999999999995,0.03216730739820504,0.03964612037977798,0.0327473269144176,0.0060178653540044,0.0056309054260090755,0.007725154104877759,0.049668272565940794,0.46077188006919234
0.27999999999999997,0.04005365817888435,0.049330546954726044,0.040769992123333446,0.008537719934585276,0.009291928495409106,0.009414492325066566,0.05982902890026164,0.45430608015512564
0.3,0.049104191399547706,0.06043088549699616,0.049974765809704294,0.011934118610916738,0.014626675686125235,0.012402631386194247,0.06993786694380032,0.4684522148864272
0.32,0.05938899878714607,0.07302844930199753,0.060432222190046035,0.016546066814340715,0.02077177019543454,0.01674938707669634,0.08046407530577121,0.5206396152035682
0.34,0.0709757330899976,0.08720086403410318,0.07221036127783699,0.02191737639847024,0.027639418570247674,0.021916820046716478,0.09210715735806517,0.544584429084948
0.36000000000000004,0.08392951095018583,0.10302192445475422,0.08537450996868678,0.028359331708632286,0.03596100773584193,0.028022324305495724,0.10428079675790944,0.5605824447866842
0.38000000000000006,0.09831282315927323,0.12056146270071061,0.09998723126691825,0.03581963062723917,0.04595986661955932,0.03535881974836864,0.11682306632729737,0.5714606968248661
0.4000000000000001,0.11418545215368332,0.13988522788440802,0.11610824148397524,0.04473676186472549,0.05691374004709975,0.04468151804900122,0.1296501646641625,0.5830612242425766
0.4200000000000001,0.131604396606103,0.1610547767883781,0.1337943352390667,0.054708058014832556,0.06964693808495062,0.055638209276995546,0.14274739889249913,0.5778749958075906
0.4400000000000001,0.15062380296925826,0.1841273754256925,0.1530993180924599,0.0663961121245686,0.08439859734127796,0.06805363246149271,0.1557976306869919,0.5430962895012817
0.46000000000000013,0.1712949038284154,0.2091559112383878,0.17407394664183362,0.08045470307677689,0.1016911573935011,0.08193741224460531,0.16819558960410264,0.5426839559729423
0.48000000000000015,0.19366596291895977,0.23618881570583095,0.19676587591210307,0.09599281508770369,0.12112918971327527,0.09753906032529554,0.1806231498792763,0.5016608571465359
0.5000000000000001,0.21778222666540592,0.26526999713498334,0.22121961386912847,0.11365835912532692,0.1431171614032022,0.1153704712140735,0.1922683959199473,0.4781233401781991
0.5200000000000001,0.24368588209818956,0.29643878340452307,0.2474764828877196,0.13312694613483644,0.1673961988766863,0.13555136899301243,0.2034760380568579,0.4471400090739461
0.5400000000000001,0.27141602100459544,0.32972987443478213,0.27557458800434553,0.15522975652522591,0.1936795683177917,0.15797804515442743,0.21409782983124662,0.4164457612475972
0.5600000000000002,0.30100861017017333,0.3651733041554598,0.30554879178496436,0.1795606081419009,0.22243491953405894,0.18262398659904763,0.22413025536723463,0.38829613982673417
0.5800000000000002,0.3324964675669933,0.40279441174306857,0.3374306956383829,0.20614023154581285,0.25375822605776843,0.209355265183774,0.23362576679638075,0.3634381198466127
0.6000000000000002,0.3659092443450947,0.4426138219000736,0.37124862740555725,0.23486793546016171,0.2878830052936454,0.23796736825889336,0.24264654187045134,0.3400583175171007
0.6200000000000002,0.40127341248347986,0.484647433947681,0.4070276350552481,0.26558772476223536,0.3244440691743089,0.26904850210287545,0.25122492923152695,0.3200451786079169
0.6400000000000002,0.43861225795700515,0.5289064195042376,0.4447894863164404,0.298527648982712,0.36378685270351113,0.3019552965782513,0.25940272699049477,0.30376623522707147
0.6600000000000003,0.47794587927552307,0.5753972285211979,0.4845526740779402,0.3341140935156209,0.40511481593991594,0.3371104219380824,0.26725063207681615,0.28417630847529357
