time,planned_x,planned_y,planned_z,actual_x,actual_y,actual_z,position_error,velocity_error
0.0,0.0,0.0,0.0,-0.00355769077106218,0.00014178799901995947,-0.016249329426199333,0.016634842177198877,2.7738447449153346e-05
0.02,0.007497561545337013,0.00920886904359889,0.007627559770846517,0.008985948004909875,0.002888908215695871,-0.010686025037078748,0.019430506623254566,1.894150968195015
0.04,0.05468587641275132,0.06565283098619398,0.05541802367918496,0.008174154755655028,0.010610726332815994,-0.0056137414496817235,0.0944343681660748,6.598781059051986
0.06,0.1605317491707203,0.18547625035256413,0.16188226212603293,0.02063922141311728,0.015594266496989879,0.01511831886514305,0.2645174149325579,11.46550482379715
0.08,0.3177653531433083,0.346402897765413,0.3188823994907653,0.05633646921203973,0.03511152962957019,0.019736836167210843,0.5047132307415769,14.124671739962684
0.1,0.5000000000000067,0.5000000000000047,0.5000000000000286,0.06890357701287354,0.029887745219509536,0.03964577577194549,0.7866229527364064,13.562811768255912
0.12000000000000001,0.674840871586064,0.5929883623795882,0.6744219539147264,0.07005792835318941,0.05173103246498011,0.06091123217447646,1.0174071511946197,10.614837455581718
0.14,0.8164620248286923,0.5872491463303326,0.8186857949077181,0.10828258715461518,0.05098988928959707,0.09636846285070344,1.1449167807732654,8.318800606931685
0.16,0.9130704570463916,0.47127862484856037,0.9213093031190419,0.1339311632323242,0.08846150576010836,0.10802511944318073,1.1895537605545945,9.808094156013397
0.18,0.9686103390604914,0.2621322366868736,0.9807720919159809,0.1581333099592521,0.09413526622158445,0.11757809439640442,1.195909642966438,12.594923934993844
0.19999999999999998,0.9999999999999996,7.355227538141662e-16,1.0,0.16773587112696078,0.08252895739380602,0.14037505733661354,1.1993455094618635,13.756243234798188
0.21999999999999997,1.0313896609395223,-0.2621322366868101,0.9807720919159579,0.20673517301617977,0.08092945337746264,0.1458815926872924,1.22261543150091,12.542459760873534
0.23999999999999996,1.086929542953625,-0.47127862484850686,0.9213093031190154,0.23014166993507282,0.08391424257219975,0.15950384548346766,1.2738414872619699,9.94962887904809
0.25999999999999995,1.1835379751713202,-0.5872491463302983,0.818685794907689,0.2700861838441889,0.0833483541818373,0.18042327471906017,1.3005668869571485,9.04463424200974
0.27999999999999997,1.3251591284139441,-0.5929883623795713,0.6744219539146957,0.3077793657204005,0.0737513636281074,0.1967037300806116,1.3068351637289064,11.54323842243773
0.3,1.5000000000000013,-0.49999999999999717,0.4999999999999969,0.3444868217525722,0.0648127807951621,0.20938753111118968,1.3185900763795713,14.28166364393029
0.32,1.6822346468566747,-0.34640289776543337,0.3188823994907614,0.37793636619150417,0.06475162246461941,0.22116054061172638,1.371054924557911,14.53200857858872
0.34,1.8394682508292697,-0.18547625035257742,0.16188226212603035,0.41034327573223506,0.05346119052970802,0.22972609933466204,1.450548889678892,11.552194159693146
0.36000000000000004,1.9453141235872446,-0.06565283098619937,0.055418023679183956,0.44024308250482275,0.06752358004102749,0.2251266618836219,1.5204525040395782,6.434167063472048
0.38000000000000006,1.9925024384546621,-0.009208869043599813,0.007627559770846427,0.4877983676453767,0.05309212699697699,0.23509296629476073,1.5230746094603416,2.169072783731499
